DATEEND,DRNUMB,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Arrest,LarcenyCode,ObjectID
2022/02/18 00:00:00+00,22166997,2110,2115,3400 MIDLAND AV,LARCENY,,All Other,11531
2022/03/24 00:00:00+00,22216320,1600,1600,3600 S  SALINA ST,LARCENY,,From Motor Vehicle,11532
2022/01/15 00:00:00+00,22118713,0853,0853,3700 S  SALINA ST,BURGLARY,Yes,,11533
2022/02/28 00:00:00+00,22900146,1131,1158,3700 S  SALINA ST,LARCENY,,All Other,11534
2022/03/19 00:00:00+00,22208373,1150,1150,3800 S  SALINA ST,LARCENY,,Shoplifting,11535
2022/01/25 00:00:00+00,22133569,1715,1715,3900 S  SALINA ST,LARCENY,,All Other,11536
2022/03/16 00:00:00+00,22203706,1646,1646,3900 S  SALINA ST,AGGRAVATED ASSAULT,Yes,,11537
2022/02/01 00:00:00+00,22141750,0800,0900,400 ARTHUR ST,LARCENY,,All Other,11538
2022/02/26 00:00:00+00,22177969,2031,2031,400 BOYDEN ST,MV THEFT,,Motor Vehicle,11539
2022/01/03 00:00:00+00,22104055,2200,1545,400 BURNET AV,BURGLARY,,From Building,11540
2022/03/22 00:00:00+00,22212489,0359,0359,400 BURT ST,AGGRAVATED ASSAULT,Yes,,11541
2022/01/29 00:00:00+00,22138312,1800,0730,400 BURT ST,LARCENY,,From Motor Vehicle,11542
2022/02/01 00:00:00+00,22141955,1225,1225,400 BUTTERNUT ST,LARCENY,Yes,From Building,11543
2022/03/02 00:00:00+00,22183810,1130,1139,400 CHEMUNG ST,AGGRAVATED ASSAULT,Yes,,11544
2022/01/28 00:00:00+00,22140725,1700,1900,400 CHINOOK DR,LARCENY,,All Other,11545
2022/04/08 00:00:00+00,22238871,1409,1409,400 COMSTOCK,LARCENY,,All Other,11546
2022/03/01 00:00:00+00,22183096,1800,1800,400 CORTLAND AV,BURGLARY,,All Other,11547
2022/02/12 00:00:00+00,22158124,1541,1541,400 E  ADAMS ST,AGGRAVATED ASSAULT,Yes,,11548
2022/02/03 00:00:00+00,22147715,1100,1600,400 E  BRIGHTON AV,LARCENY,,From Motor Vehicle,11549
2022/01/26 00:00:00+00,22134251,1833,1833,400 E  BRIGHTON AV,ROBBERY,,Shoplifting,11550
2022/02/28 00:00:00+00,22179621,0627,0627,400 E  BRIGHTON AV,MV THEFT,,Motor Vehicle,11551
2022/01/15 00:00:00+00,22118404,0014,0015,400 ELLIOTT ST,AGGRAVATED ASSAULT,,,11552
2022/01/17 00:00:00+00,22121670,1848,1848,400 ELLIS ST,AGGRAVATED ASSAULT,,,11553
2022/02/05 00:00:00+00,22149365,0000,1200,400 ENGLEWOOD AV,MV THEFT,Yes,Motor Vehicle,11554
2022/04/05 00:00:00+00,22234467,1737,1737,400 ERIE BLVD,BURGLARY,Yes,Shoplifting,11555
2022/03/29 00:00:00+00,22223660,1630,1630,400 ERIE BLVD E,LARCENY,Yes,All Other,11556
2022/03/23 00:00:00+00,22216450,1601,1601,400 ERIE BLVD E,LARCENY,Yes,From Building,11557
2022/04/03 00:00:00+00,22230741,1230,0930,400 ERIE BLVD E,BURGLARY,,Shoplifting,11558
2022/03/23 00:00:00+00,22214913,1718,1718,400 ERIE BLVD E,LARCENY,,From Building,11559
2022/01/09 00:00:00+00,22111218,0625,0625,400 ERIE BLVD E,LARCENY,,Shoplifting,11560
2022/03/23 00:00:00+00,22215131,2144,2144,400 ERIE BLVD E,LARCENY,,From Building,11561
2022/04/03 00:00:00+00,22231234,2002,2002,400 ERIE BLVD E,BURGLARY,,Shoplifting,11562
2022/02/10 00:00:00+00,22900118,1300,1530,400 FABIUS ST,LARCENY,,From Building,11563
2022/03/29 00:00:00+00,22223751,1715,1723,400 GIFFORD ST,LARCENY,,,11564
2022/04/05 00:00:00+00,22233322,0456,0456,400 GRANT BLVD,AGGRAVATED ASSAULT,,,11565
2022/01/24 00:00:00+00,22130580,0850,0905,400 JAMES ST,ROBBERY,,All Other,11566
2022/03/19 00:00:00+00,22209047,2115,2115,400 JAMES ST,AGGRAVATED ASSAULT,Yes,,11567
2022/03/20 00:00:00+00,22210127,1620,1620,400 JAMES ST,ROBBERY,Yes,All Other,11568
2022/03/31 00:00:00+00,22226913,1749,1749,400 KIRKPATRICK ST,AGGRAVATED ASSAULT,Yes,,11569
2022/03/23 00:00:00+00,22213857,0002,0002,400 KIRKPATRICK ST,BURGLARY,Yes,,11570
2022/03/30 00:00:00+00,22225661,2233,2233,400 LIBERTY ST,LARCENY,,All Other,11571
2022/02/15 00:00:00+00,22161926,1208,1208,400 MARCELLUS ST,AGGRAVATED ASSAULT,Yes,,11572
2022/03/05 00:00:00+00,22187755,1603,1604,400 MARCELLUS ST,LARCENY,Yes,All Other,11573
2022/03/31 00:00:00+00,22900217,2200,2200,400 MARSHALL ST,LARCENY,,From Motor Vehicle,11574
2022/02/08 00:00:00+00,22151650,0530,0537,400 MILTON AV,BURGLARY,Yes,From Building,11575
2022/03/17 00:00:00+00,22205138,1200,1200,400 MONTGOMERY ST,MV THEFT,,Of MV Parts/Accessories,11576
2022/04/04 00:00:00+00,22232098,1124,1124,400 MONTGOMERY ST,AGGRAVATED ASSAULT,Yes,,11577
2022/02/18 00:00:00+00,22168072,1200,0615,400 N  FRANKLIN ST,LARCENY,,All Other,11578
2022/03/06 00:00:00+00,22900155,0630,0630,400 N  FRANKLIN ST,LARCENY,,All Other,11579
2022/03/26 00:00:00+00,22219647,2200,2202,400 N  FRANKLIN ST,AGGRAVATED ASSAULT,,,11580
2022/02/17 00:00:00+00,22165100,1324,1324,400 NICHOLS AV,LARCENY,,All Other,11581
2022/02/22 00:00:00+00,22171536,2230,0630,400 PLYMOUTH DR,MV THEFT,,Motor Vehicle,11582
2022/02/03 00:00:00+00,22145308,1635,1638,400 POND ST,MV THEFT,,Motor Vehicle,11583
2022/03/15 00:00:00+00,22202257,0302,0302,400 POND ST,LARCENY,,All Other,11584
2022/01/23 00:00:00+00,22129820,1615,1615,400 RICHMOND AV,AGGRAVATED ASSAULT,Yes,,11585
2022/01/24 00:00:00+00,22143067,0500,0500,400 S  ALVORD ST,LARCENY,,From Building,11586
2022/04/02 00:00:00+00,22229206,0045,0730,400 S  BEECH ST,MV THEFT,,Motor Vehicle,11587
2022/02/17 00:00:00+00,22164780,0330,0330,400 S  CLINTON ST,AGGRAVATED ASSAULT,Yes,,11588
2022/03/20 00:00:00+00,22210209,1759,1759,400 S  COLLINGWOOD AV,AGGRAVATED ASSAULT,,,11589
2022/02/01 00:00:00+00,22143158,1336,1336,400 S  SALINA ST,MV THEFT,,Motor Vehicle,11590
2022/01/30 00:00:00+00,22900091,0440,0840,400 S  SALINA ST,LARCENY,,From Motor Vehicle,11591
2022/02/11 00:00:00+00,22900111,0600,0705,400 S  WARREN ST,LARCENY,,From Motor Vehicle,11592
